Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
001BE8       1    No     00000005-0000000A        6
001BF2       3    No     0000000B-00000012        8
001D1A       1    No     00000013-00000018        6
001D8F       1    No     00000019-0000001E        6
001FFC      1D    No     0000001F-00000040       22
0022C4       2    No     00000041-00000047        7
0023BF      12    No     00000048-0000005E       17
0023D1       E    Yes    0000005F-00000066        8
002432      1C    No     00000067-00000087       21
00244E       D    Yes    00000088-0000008F        8
00262A       1    No     00000090-00000095        6
00268C      14    No     00000096-000000AE       19
0026D4      15    No     000000AF-000000C8       1A
002D1B       F    Yes    000000C9-000000D0        8
002D70       1    No     000000D1-000000D6        6
002D71      19    Yes    000000D7-000000DE        8
002D8B       1    No     000000DF-000000E4        6
002D8C      19    Yes    000000E5-000000EC        8
002DCF       1    No     000000ED-000000F2        6
002E6A       A    No     000000F3-00000101        F
002E7B       1    No     00000102-00000107        6
003F35       C    No     00000108-00000118       11
00406F      94    No     00000119-000001B1       99
004103      20    Yes    000001B2-000001B9        8
008C11       4    No     000001BA-000001C2        9
008D87       2    No     000001C3-000001C9        7
008F5C       7    No     000001CA-000001D5        C
008F6C       B    No     000001D6-000001E5       10
008F80       1    No     000001E6-000001EB        6
01218B      1B    No     000001EC-0000020B       20
012279      12    No     0000020C-00000222       17
01228B       D    Yes    00000223-0000022A        8
012491       D    No     0000022B-0000023C       12
0124A7      4B    No     0000023D-0000028C       50
01B457       2    No     0000028D-00000293        7
01BBEC      36    No     00000294-000002CE       3B
01BC23       D    Yes    000002CF-000002D6        8
01BC30    2C10    No     000002D7-00002EEB     2C15
01E840      E6    Yes    00002EEC-00002EF3        8
01FF70      1A    No     00002EF4-00002F12       1F
020E57       1    No     00002F13-00002F18        6
0215B5       4    No     00002F19-00002F21        9
0215F1       4    No     00002F22-00002F2A        9
021E5D       1    No     00002F2B-00002F30        6
021E89       5    No     00002F31-00002F3A        A
021EF6       1    No     00002F3B-00002F40        6
022378       5    No     00002F41-00002F4A        A
0225CE       5    No     00002F4B-00002F54        A
022816       1    No     00002F55-00002F5A        6
02283F       A    No     00002F5B-00002F69        F
022865       5    No     00002F6A-00002F73        A
022876       A    No     00002F74-00002F82        F
0228AF       1    No     00002F83-00002F88        6
0228C0       A    No     00002F89-00002F97        F
0228F7       1    No     00002F98-00002F9D        6
022908       6    No     00002F9E-00002FA8        B
02294B       1    No     00002FA9-00002FAE        6
022CE1       5    No     00002FAF-00002FB8        A
022E63       1    No     00002FB9-00002FBE        6
022E80       1    No     00002FBF-00002FC4        6
022ED5       5    No     00002FC5-00002FCE        A
022EE1       1    No     00002FCF-00002FD4        6
0231E0       1    No     00002FD5-00002FDA        6
023257       6    No     00002FDB-00002FE5        B
0233D2       1    No     00002FE6-00002FEB        6
02350B       5    No     00002FEC-00002FF5        A
02353E       1    No     00002FF6-00002FFB        6
0236A2       1    No     00002FFC-00003001        6
023C33       1    No     00003002-00003007        6
023CD8       1    No     00003008-0000300D        6
023CF8       1    No     0000300E-00003013        6
02405B       1    No     00003014-00003019        6
024161       1    No     0000301A-0000301F        6
024183       1    No     00003020-00003025        6
0241AF       1    No     00003026-0000302B        6
02426A       1    No     0000302C-00003031        6
0242D7       1    No     00003032-00003037        6
02430C       1    No     00003038-0000303D        6
0243EB       1    No     0000303E-00003043        6
02441A       1    No     00003044-00003049        6
024492       1    No     0000304A-0000304F        6
0244AD       5    No     00003050-00003059        A
0247D7       1    No     0000305A-0000305F        6
0247E0       1    No     00003060-00003065        6
025E57       5    No     00003066-0000306F        A
