--Removing Trade Evolutions--
Made POLIWHIRL evolve into POLITOED at level 37
Made KADABRA evolve into ALAKAZAM at level 37
Made MACHOKE evolve into MACHAMP at level 37
Made GRAVELER evolve into GOLEM at level 37
Made SLOWPOKE evolve into SLOWKING using a PEDRA ÁGUA
Made HAUNTER evolve into GENGAR at level 37
Made ONIX evolve into STEELIX at level 30
Made SEADRA evolve into KINGDRA at level 40
Made SCYTHER evolve into SCIZOR at level 30
Made EEVEE evolve into ESPEON using a PEDRA SOL
Made EEVEE evolve into UMBREON using a PEDRA LUA
Made PORYGON evolve into PORYGON2 at level 30
Made FEEBAS evolve into MILOTIC at level 35
Made CLAMPERL evolve into HUNTAIL at level 30
Made CLAMPERL evolve into GOREBYSS using a PEDRA ÁGUA

--Condensed Level Evolutions--
RHYHORN now evolves into RHYDON at minimum level 40
HORSEA now evolves into SEADRA at minimum level 30
DRAGONAIR now evolves into DRAGONITE at minimum level 40
PUPITAR now evolves into TYRANITAR at minimum level 40
ARON now evolves into LAIRON at minimum level 30
LAIRON now evolves into AGGRON at minimum level 40
TRAPINCH now evolves into VIBRAVA at minimum level 30
VIBRAVA now evolves into FLYGON at minimum level 40
SNORUNT now evolves into GLALIE at minimum level 40
SPHEAL now evolves into SEALEO at minimum level 30
SEALEO now evolves into WALREIN at minimum level 40
SHELGON now evolves into SALAMENCE at minimum level 40
METANG now evolves into METAGROSS at minimum level 40

--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|Bulbasaur |GRASS/POISON     |  45|  49|  49|  45|  65|  65|OVERGROW    |-------     |DESPARALISA (rare)
  2|Ivysaur   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|OVERGROW    |-------     |
  3|Venusaur  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|OVERGROW    |-------     |
  4|Charmander|FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |-------     |
  5|Charmeleon|FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |-------     |FL. PRETA (rare)
  6|Charizard |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|BLAZE       |-------     |
  7|Squirtle  |WATER            |  44|  48|  65|  43|  50|  64|TORRENT     |-------     |
  8|Wartortle |WATER            |  59|  63|  80|  58|  65|  80|TORRENT     |-------     |TM03 (rare)
  9|Blastoise |WATER            |  79|  83| 100|  78|  85| 105|TORRENT     |-------     |MAIS HP (common), MAIS PP (rare)
 10|Caterpie  |BUG              |  45|  30|  35|  45|  20|  20|SHIELD DUST |-------     |
 11|Metapod   |BUG              |  50|  20|  55|  30|  25|  25|SHED SKIN   |-------     |
 12|Butterfree|BUG/FLYING       |  60|  45|  50|  70|  80|  80|COMPOUNDEYES|-------     |DIVE BOLA (100%)
 13|Weedle    |BUG/POISON       |  40|  35|  30|  50|  20|  20|SHIELD DUST |-------     |P. ESTRELAR (common)
 14|Kakuna    |BUG/POISON       |  45|  25|  50|  35|  25|  25|SHED SKIN   |-------     |
 15|Beedrill  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |-------     |
 16|Pidgey    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |-------     |
